Key,Value
ASA_A^2,3114.62
ASA_A^2_unit,A^2
ASA_m^2/cm^3,2162.73
ASA_m^2/cm^3_unit,m^2/cm^3
ASA_m^2/g,3188.86
ASA_m^2/g_unit,m^2/g
Channel_surface_area_A^2,3114.62
Channel_surface_area_A^2_unit,A^2
Density,0.678215
Density_unit,g/cm^3
Input_block,"[1.525, 100]"
Input_cssr,True
Input_ha,DEF
Input_res,True
Input_sa,"[1.525, 1.525, 100000]"
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 100000]"
Largest_free_sphere,6.40168
Largest_free_sphere_unit,A
Largest_included_free_sphere,13.74306
Largest_included_free_sphere_unit,A
Largest_included_sphere,13.75325
Largest_included_sphere_unit,A
NASA_A^2,0.0
NASA_A^2_unit,A^2
NASA_m^2/cm^3,0.0
NASA_m^2/cm^3_unit,m^2/cm^3
NASA_m^2/g,0.0
NASA_m^2/g_unit,m^2/g
Number_of_blocking_spheres,0
Number_of_channels,1
Number_of_channels_unit,
Number_of_pockets,0
Number_of_pockets_unit,
POAV_A^3,9619.78
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.66798
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.984909
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Pocket_surface_area_A^2,0.0
Pocket_surface_area_A^2_unit,A^2
Unitcell_volume,14401.3
Unitcell_volume_unit,A^3
